"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\AppCenterApp.cs", "C#", 11, 0, 4, 15
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\ApplicationScriptableObject.cs", "C#", 16, 0, 4, 20
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\CloseApplications.cs", "C#", 14, 0, 3, 17
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\DisplayUserDesktop.cs", "C#", 61, 0, 21, 82
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\InstallApplication.cs", "C#", 12, 2, 5, 19
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\OpenApplications.cs", "C#", 18, 2, 9, 29
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\SoftwareApplicationInstaller.cs", "C#", 56, 1, 16, 73
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\SoftwareCenterActionController.cs", "C#", 14, 0, 4, 18
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\SoftwareCenterAppControl.cs", "C#", 15, 0, 4, 19
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\SoftwareCenterMainController.cs", "C#", 131, 3, 32, 166
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ApplicationControllers\ViewingSoftwareApp.cs", "C#", 43, 0, 11, 54
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Classes\ApplicationClasses.cs", "C#", 12, 2, 5, 19
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Classes\ContractInfo.cs", "C#", 16, 5, 9, 30
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\CloseApplication.cs", "C#", 12, 2, 5, 19
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ConnectToTerminal.cs", "C#", 27, 11, 9, 47
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ContractButton.cs", "C#", 12, 0, 4, 16
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Controllers\DatabaseController.cs", "C#", 19, 0, 6, 25
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Controllers\DateTimeController.cs", "C#", 88, 1, 20, 109
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Controllers\GameController.cs", "C#", 81, 4, 34, 119
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Controllers\SceneController.cs", "C#", 76, 5, 31, 112
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Controllers\ToolbarController.cs", "C#", 68, 10, 26, 104
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\DragableApplication.cs", "C#", 13, 0, 5, 18
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Open Applications\OpenCloseSoftwareCenter.cs", "C#", 12, 2, 5, 19
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Open Applications\OpenConnectToTerminal.cs", "C#", 7, 0, 2, 9
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Open Applications\TerminalDisconnect.cs", "C#", 9, 0, 2, 11
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Puzzles\NodePuzzleController.cs", "C#", 40, 0, 16, 56
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Puzzles\NodeSteamController.cs", "C#", 33, 0, 4, 37
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\Puzzles\PuzzlePieceController.cs", "C#", 209, 4, 38, 251
"c:\Users\KAMil\Documents\Syndicate Games\Unity Games\ProjectHack\Assets\Scripts\ViewingContract.cs", "C#", 36, 0, 8, 44
"Total", "-", 1161, 54, 342, 1557
